CAPTURE_ROUND_ID,YEAR,SEASON,DATE,TIME,MINUTES_AFTER_SUNRISE,PROPERTY_ID,PROPERTY_TYPE,RECAPTURE,BAND_NUMBER,SPECIES,SEX,MASS (g),MAX WING CHORD (mm),TAIL (mm),BILL_HEAD (mm),BILL_LENGTH (mm),BILL_WIDTH (mm),BILL_DEPTH (mm),TARSUS_SHORT (mm),TARSUS_LONG (mm),FAT SCORE ,AVIAN POX LESIONS PRESENT,SALMONELLA,DUST RUFFLE PERFORMED,ECTOPARASITES DETECTED,MITES_PRESENT,MITES_ABUNDANCE,LICE_PRESENT,LICE_ABUNDANCE,FAECAL SAMPLE COLLECTED,COCCIDIA_PRESENT,COCCIDIA_ABUNDANCE,HELMINTHS_PRESENT,HELMINTHS_ABUNDANCE
S2,2013,Spring,14/08/13,11:30,264,FORD,Feeding,Recapture,D203938,Eurasian blackbird,M,90,139,103,53.1,21,6.1,7.6,35.4,39.3,1,0,,Yes,1,1,4,0,0,,,,,
S2,2013,Spring,14/08/13,14:30,444,FORD,Feeding,,D205063,Eurasian blackbird,F,89,123,103,51.8,19.9,5.5,7.1,32,36.4,2,0,,Yes,1,1,3,0,0,Yes,1,21,1,72
S2,2013,Spring,15/08/13,15:03,478,HOLY,Feeding,Recapture,D205061,Eurasian blackbird,F,86,123,95,53.5,22,6,7.6,34.1,38.5,1,0,,Yes,1,1,14,1,45,,,,,
S2,2013,Spring,15/08/13,8:28,83,HOLY,Feeding,,D205064,Eurasian blackbird,M,91,125,101,53.7,22.6,5.2,7.9,35,39.2,1,0,,Yes,1,0,0,1,2,Yes,0,0,0,0
S2,2013,Spring,20/08/13,12:45,347,FORD,Feeding,,D205065,Eurasian blackbird,M,100.5,131,101,54.4,21.2,5.4,6.8,35.1,39.7,1,0,,Yes,1,1,6,0,0,,,,,
S2,2013,Spring,22/08/13,11:12,256,DEUX,Feeding,Recapture,D205052,Eurasian blackbird,M,90,124,96,51.8,21.3,5.8,7.4,33.7,37.2,2,0,,Yes,1,1,4,0,0,Yes,0,0,1,3
S2,2013,Spring,22/08/13,8:21,85,DEUX,Feeding,,D205066,Eurasian blackbird,M,96.5,127,102,52.9,21.5,5.3,7.4,35.6,39.1,1,0,,,,,,,,Yes,0,0,1,9
S2,2013,Spring,22/08/13,10:42,226,DEUX,Feeding,,D205067,Eurasian blackbird,F,91,123,99,52.6,21,5.8,6.9,34.4,37.9,1,0,,Yes,1,1,35,0,0,Yes,0,0,1,2
S2,2013,Spring,23/08/13,7:55,60,DEUX,Feeding,,D205068,Eurasian blackbird,F,87.75,131,100,52,18.4,6.4,7.4,33.4,37.5,1,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
S2,2013,Spring,27/08/13,12:55,366,REWI,Feeding,Recapture,D134102,Eurasian blackbird,F,93,125,96,52.6,21,5.7,6.4,34.1,38.4,1,0,,Yes,1,1,4,0,0,Yes,0,0,0,0
S2,2013,Spring,27/08/13,14:58,489,REWI,Feeding,,D205069,Eurasian blackbird,M,95.5,126,101,53.5,22.1,5.7,7,34.4,38.3,1,0,,Yes,1,1,62,0,0,Yes,1,139,1,26
S2,2013,Spring,28/08/13,10:52,244,MCDO,Nonfeeding,Recapture,D134121,Eurasian blackbird,M,86.5,131,105,53.3,20.6,5.4,7.3,35.1,38.4,0,0,,,,,,,,Yes,0,0,0,0
S2,2013,Spring,28/08/13,8:46,118,MCDO,Nonfeeding,,D205070,Eurasian blackbird,M,90.5,134,109,53.5,21.4,5,7,34.7,38.9,1,0,,Yes,1,1,2,0,0,Yes,0,0,0,0
S2,2013,Spring,28/08/13,17:15,627,MCDO,Nonfeeding,,D205072,Eurasian blackbird,F,100,124,108,52.2,21.5,5.9,7.5,31.7,36.7,1,0,,Yes,1,1,28,0,0,,,,,
S2,2013,Spring,30/08/13,9:55,190,REWI,Feeding,Recapture,D203915,Eurasian blackbird,M,92,131,113,55,23.7,6.6,8.2,34,37.7,1,0,,Yes,1,1,3,0,0,,,,,
A1,2012,Autumn,28/03/12,9:35,124,FAIR,Nonfeeding,,A190642,Silvereye,,12.5,62,45,27.5,9.5,3,3,17.7,19.8,1,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,28/03/12,9:35,124,FAIR,Nonfeeding,,A190641,Silvereye,,11.5,63,49,28.1,9.9,2.9,3.1,19.9,21.2,1,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,28/03/12,9:35,124,FAIR,Nonfeeding,,A190643,Silvereye,,10,63,46,26.9,8.8,2.6,2.8,17.5,20,1,0,,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,10/04/12,8:05,83,BAYS,Nonfeeding,,A190644,Silvereye,,11,59,46,28.2,9.7,2.8,3.1,17.5,19.1,1,0,0,,,,,,,Yes,1,1,0,0
A1,2012,Autumn,10/04/12,8:05,83,BAYS,Nonfeeding,,A190645,Silvereye,,11.25,61,50,27.9,10,2.9,3.1,16.6,19.6,2,0,0,Yes,0,0,0,0,0,,,,,
A1,2012,Autumn,10/04/12,15:25,523,BAYS,Nonfeeding,,A190646,Silvereye,,12,59,46,29.3,9.8,3,3.1,16.9,19,2,0,0,Yes,0,0,0,0,0,Yes,1,589,0,0
A1,2012,Autumn,15/04/12,10:00,194,HOLY,Feeding,,A190647,Silvereye,,11.5,60,46,27.6,9.7,3.2,3.5,18.2,20.9,2,0,0,Yes,0,0,0,0,0,Yes,0,0,1,37
A1,2012,Autumn,16/04/12,11:30,283,DEUX,Feeding,,A190648,Silvereye,,11.6,64,48,27.5,8.8,2.3,3,16.3,18.1,4,0,,Yes,0,0,0,0,0,Yes,1,17,1,1
A1,2012,Autumn,16/04/12,13:20,393,DEUX,Feeding,,A190649,Silvereye,,12,61,47,27.7,10,3.2,3,17.6,20,2,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,19/04/12,9:45,175,FORD,Feeding,,A190651,Silvereye,,14,61,44,28.3,9.4,3.1,3.1,17.2,19.5,1,0,0,Yes,0,0,0,0,0,,,,,
A1,2012,Autumn,19/04/12,11:20,270,FORD,Feeding,,A190652,Silvereye,,12,58,46,26.1,9,3.3,3.3,17,19.5,1,0,0,Yes,0,0,0,0,0,Yes,1,7,0,0
A1,2012,Autumn,19/04/12,13:40,410,FORD,Feeding,,A190653,Silvereye,,14.5,62,47,29,9.9,3,3.1,18.5,21,3,0,,Yes,0,0,0,0,0,Yes,1,9,0,0
A1,2012,Autumn,8/05/12,10:55,229,HOLY,Feeding,,A190654,Silvereye,,12.5,60,47,30,10.6,2.7,3.1,17.6,20.3,4,0,,Yes,0,0,0,0,0,Yes,0,0,1,9
A1,2012,Autumn,17/05/12,9:07,113,HINE,Nonfeeding,,A190655,Silvereye,,11,57,,27.7,10.2,2.6,2.7,16.6,18.7,1,1,0,Yes,0,0,0,0,0,Yes,1,12,1,231
A1,2012,Autumn,18/05/12,9:35,140,HINE,Nonfeeding,,A190700,Silvereye,,11.4,61,47,28.5,10.4,2.6,2.8,16.7,18.6,1,0,,Yes,0,0,0,0,0,Yes,1,8,1,12
A1,2012,Autumn,25/05/12,10:20,180,REWI,Feeding,,A190657,Silvereye,,10.5,59.5,46,28.3,9.1,2.6,3,15.8,18.6,1,0,,Yes,1,1,19,0,0,Yes,1,3,0,0
A1,2012,Autumn,27/05/12,9:35,134,HOLY,Feeding,,A190658,Silvereye,,12.5,59,48,28.9,9.3,2.8,3.7,18,20.2,0,0,,Yes,1,1,4,0,0,Yes,0,0,0,0
A1,2012,Autumn,27/05/12,11:25,244,HOLY,Feeding,,A190659,Silvereye,,11,60,47,28.3,9.3,2.8,3.5,17.5,19.8,1,0,,,,,,,,Yes,0,0,0,0
A1,2012,Autumn,27/05/12,11:25,244,HOLY,Feeding,,A190660,Silvereye,,11.5,61,47,28.8,9.1,3.5,3.7,16.9,19.4,1,0,,,,,,,,Yes,0,0,0,0
A1,2012,Autumn,27/05/12,12:40,319,HOLY,Feeding,,A190661,Silvereye,,13,59,46,28.2,9.8,3.4,3.4,18.8,20.5,2,0,,,,,,,,Yes,1,3,0,0
S1,2012,Spring,19/09/12,13:10,415,HOLY,Feeding,,A190663,Silvereye,,10.25,59,44,28.9,11.2,3.6,3.2,17.7,20,2,0,0,Yes,0,0,0,0,0,,,,,
S1,2012,Spring,19/09/12,13:40,445,HOLY,Feeding,,A190665,Silvereye,,10.25,58,42,28.4,9.9,3.2,2.9,18.1,20.1,1,0,0,Yes,0,0,0,0,0,Yes,1,294,0,0
S1,2012,Spring,19/09/12,13:40,445,HOLY,Feeding,,A190666,Silvereye,,10.5,60,46,27.8,9.3,3.3,3.2,18.4,21,4,0,0,Yes,0,0,0,0,0,Yes,1,30,1,2
S1,2012,Spring,21/09/12,9:00,168,FAIR,Nonfeeding,,A190667,Silvereye,,12,60,47,28.3,10.4,3.4,3.7,18,20,1,0,0,Yes,0,0,0,0,0,Yes,1,14,1,4
S1,2012,Spring,21/09/12,9:00,168,FAIR,Nonfeeding,,A190668,Silvereye,,10.75,63,45,28.4,10.4,3.2,3.1,16.3,18.6,1,0,0,Yes,0,0,0,0,0,Yes,1,13,1,31
S1,2012,Spring,21/09/12,9:00,168,FAIR,Nonfeeding,,A190669,Silvereye,,11,61,45,28.9,10.5,2.9,3.3,17,19.5,0,0,0,Yes,0,0,0,0,0,Yes,1,3,1,1
S1,2012,Spring,24/09/12,8:10,122,FORD,Feeding,,A190671,Silvereye,,14,61,,28.5,10.2,,4,18,20.8,2,0,,Yes,0,0,0,0,0,,,,,
S1,2012,Spring,24/09/12,9:50,222,FORD,Feeding,,A190672,Silvereye,,11.5,60,45,28.3,10.4,4.5,4.6,18.4,19.5,1,0,0,Yes,0,0,0,0,0,,,,,
