OID,Seal,Year,Month,Day,X,Y,Zone
367,6,2002,10,15,1851063.68978,-326947.693752,Kara Sea
368,1,2002,10,15,1854840.28169,-327058.386566,Kara Sea
369,3,2002,10,15,1854840.28169,-327058.386566,Kara Sea
370,7,2002,10,15,1864236.44871,-327597.009555,Kara Sea
371,1,2002,10,17,1809954.76531,-333821.81171,Kara Sea
372,1,2002,10,19,1781528.02949,-323223.201965,Kara Sea
373,4,2002,10,19,1781528.02949,-323223.201965,Kara Sea
374,1,2002,10,19,1765468.30408,-317657.885931,Kara Sea
375,1,2002,10,19,1771346.52487,-316588.208854,Kara Sea
376,1,2002,10,19,1780900.07449,-316157.770122,Kara Sea
377,5,2002,10,19,1788342.78008,-316942.476083,Kara Sea
378,1,2002,10,19,1793949.07312,-317397.860581,Kara Sea
379,2,2002,10,20,1824926.27777,-324521.215986,Kara Sea
380,1,2002,10,20,1841766.88457,-325858.118053,Kara Sea
381,1,2002,10,20,1849223.11723,-326622.599077,Kara Sea
382,1,2002,10,20,1881386.49375,-327226.735225,Kara Sea
383,2,2002,10,20,1890982.29318,-326629.357802,Kara Sea
384,1,2002,10,20,1951980.59263,-301601.171398,Kara Sea
385,1,2002,10,23,1727020.32816,-463830.747026,Kara Sea
386,3,2002,10,24,1756079.87383,-392530.357884,Kara Sea
387,1,2002,10,24,1757214.26714,-387420.475085,Kara Sea
388,3,2002,10,24,1760268.29624,-382191.711866,Kara Sea
389,1,2002,10,24,1781159.72657,-335480.508754,Kara Sea
390,1,2002,10,24,1782224.06709,-329779.499083,Kara Sea
391,1,2002,10,24,1791727.69696,-308411.734706,Kara Sea
392,1,2002,10,27,1952763.49242,-296489.870423,Kara Sea
393,2,2002,10,28,1702570.25652,-582366.831778,Kara Sea
394,3,2002,10,28,1704257.08735,-577411.798767,Kara Sea
395,3,2002,10,28,1707917.33432,-566493.587148,Kara Sea
396,2,2002,10,28,1708924.01809,-557462.252089,Kara Sea
397,1,2002,10,28,1712512.3568,-533934.727287,Kara Sea
398,9,2002,10,28,1713805.46621,-523417.837901,Kara Sea
399,3,2002,10,28,1717119.98347,-512439.627094,Kara Sea
400,2,2002,10,28,1717797.6952,-496899.641914,Kara Sea
401,2,2002,10,28,1718439.48695,-487889.460938,Kara Sea
402,2,2002,10,28,1720970.50258,-478885.08607,Kara Sea
403,1,2002,10,28,1724543.10084,-465855.653322,Kara Sea
404,8,2002,10,28,1729292.89179,-455284.823141,Kara Sea
405,1,2002,10,29,1859011.89472,-335605.69443,Kara Sea
406,1,2002,10,29,1876743.31229,-332046.389222,Kara Sea
407,3,2002,11,4,1756341.05137,-408174.836588,Kara Sea
408,4,2002,11,4,1762557.736,-397748.322243,Kara Sea
409,5,2002,11,4,1769050.31847,-385715.346904,Kara Sea
410,5,2002,11,4,1771878.55336,-381475.471622,Kara Sea
411,1,2002,11,4,1784494.15736,-366845.037056,Kara Sea
412,2,2002,11,4,1788012.44628,-358903.06182,Kara Sea
413,1,2002,11,4,1816120.32469,-341518.319911,Kara Sea
414,2,2002,11,10,1293157.60044,-1245883.20866,Barents Sea
415,1,2002,11,10,1726750.19012,-464835.408173,Kara Sea
416,2,2002,11,10,1729629.64011,-461296.529006,Kara Sea
417,3,2002,11,10,1735525.75708,-446145.442149,Kara Sea
418,1,2002,11,10,1746902.14977,-423696.048183,Kara Sea
